Date;Price;Open;High;Low;Change (%)
03/09/2014;480.0;478.9;487.3;476.8;0.23
04/09/2014;491.0;480.0;498.5;476.3;2.28
05/09/2014;483.6;491.0;495.0;483.1;-1.49
06/09/2014;484.5;483.6;491.4;480.8;0.17
07/09/2014;485.8;484.5;490.7;478.5;0.26
08/09/2014;475.7;485.8;487.0;469.5;-2.07
09/09/2014;474.9;475.7;478.6;467.5;-0.17
10/09/2014;479.7;474.9;491.0;471.6;1.01
11/09/2014;478.5;479.7;488.9;474.6;-0.25
12/09/2014;477.7;478.5;479.7;471.1;-0.16
13/09/2014;478.2;477.7;480.6;474.6;0.09
14/09/2014;477.7;478.2;480.3;472.0;-0.09
15/09/2014;477.7;477.7;479.3;473.7;0.00
16/09/2014;466.8;477.7;478.8;464.0;-2.29
17/09/2014;461.1;466.8;469.4;458.3;-1.21
18/09/2014;424.3;461.1;462.3;408.8;-7.99
19/09/2014;397.7;424.3;429.2;386.1;-6.27
20/09/2014;411.5;397.7;427.7;387.5;3.49
21/09/2014;401.6;411.5;415.1;394.5;-2.41
22/09/2014;404.1;401.6;410.8;398.6;0.62
23/09/2014;436.9;404.1;445.5;394.8;8.11
24/09/2014;423.8;436.9;439.2;422.1;-3.00
25/09/2014;412.3;423.8;427.5;409.6;-2.71
26/09/2014;404.5;412.3;416.4;399.7;-1.90
27/09/2014;399.0;404.5;407.1;394.7;-1.35
28/09/2014;379.1;399.0;402.3;374.1;-5.00
29/09/2014;376.8;379.1;389.3;372.6;-0.61
30/09/2014;388.2;376.8;395.2;374.7;3.03
01/10/2014;382.8;388.2;395.1;381.1;-1.37
02/10/2014;375.1;382.8;385.6;371.2;-2.01
03/10/2014;363.5;375.1;378.2;362.8;-3.12
04/10/2014;335.3;363.5;369.9;327.1;-7.74
05/10/2014;322.9;335.3;344.3;294.9;-3.72
06/10/2014;331.5;322.9;347.9;303.0;2.69
07/10/2014;331.6;331.5;345.5;321.7;0.03
08/10/2014;350.9;331.6;351.6;325.4;5.80
09/10/2014;360.9;350.9;384.6;347.6;2.86
10/10/2014;361.7;360.9;378.1;353.3;0.22
11/10/2014;361.2;361.7;370.1;350.5;-0.14
12/10/2014;373.2;361.2;374.6;352.3;3.31
13/10/2014;387.3;373.2;391.2;366.0;3.79
14/10/2014;397.1;387.3;407.7;385.7;2.53
15/10/2014;393.2;397.1;397.9;388.2;-0.99
16/10/2014;379.8;393.2;398.8;371.6;-3.41
17/10/2014;380.5;379.8;384.8;372.4;0.19
18/10/2014;390.9;380.5;395.7;373.6;2.73
19/10/2014;387.3;390.9;394.5;383.9;-0.92
20/10/2014;380.4;387.3;387.8;378.4;-1.78
21/10/2014;382.4;380.4;388.2;377.4;0.52
22/10/2014;378.9;382.4;383.7;377.0;-0.89
23/10/2014;355.8;378.9;381.1;353.5;-6.11
24/10/2014;355.1;355.8;360.9;351.4;-0.19
25/10/2014;346.7;355.1;356.6;341.5;-2.36
26/10/2014;348.7;346.7;356.8;344.2;0.56
27/10/2014;350.1;348.7;356.4;344.9;0.41
28/10/2014;351.1;350.1;355.7;348.3;0.28
29/10/2014;335.1;351.1;352.8;334.7;-4.54
30/10/2014;344.9;335.1;350.4;333.4;2.91
31/10/2014;337.9;344.9;348.0;336.1;-2.03
01/11/2014;325.4;337.9;339.0;320.7;-3.68
02/11/2014;322.5;325.4;329.8;319.8;-0.88
03/11/2014;324.2;322.5;332.9;321.7;0.52
04/11/2014;328.0;324.2;328.8;320.1;1.15
05/11/2014;338.0;328.0;342.0;326.5;3.06
06/11/2014;347.7;338.0;351.1;335.7;2.86
07/11/2014;341.9;347.7;351.6;340.2;-1.67
08/11/2014;343.5;341.9;346.3;339.8;0.49
09/11/2014;362.0;343.5;362.2;341.8;5.39
10/11/2014;367.1;362.0;374.7;356.6;1.41
11/11/2014;365.4;367.1;371.0;361.9;-0.47
12/11/2014;432.0;365.4;442.7;365.8;18.23
13/11/2014;428.7;432.0;480.5;390.9;-0.77
14/11/2014;396.5;428.7;430.2;382.0;-7.51
15/11/2014;374.9;396.5;407.3;368.0;-5.46
16/11/2014;385.6;374.9;390.4;370.5;2.87
17/11/2014;384.7;385.6;412.3;378.3;-0.24
18/11/2014;379.2;384.7;394.9;372.0;-1.44
19/11/2014;381.4;379.2;389.3;374.3;0.60
20/11/2014;357.3;381.4;383.0;355.1;-6.33
21/11/2014;351.8;357.3;358.7;343.8;-1.55
22/11/2014;352.0;351.8;364.2;350.5;0.07
23/11/2014;365.9;352.0;370.6;352.6;3.93
24/11/2014;378.9;365.9;388.7;361.9;3.55
25/11/2014;376.4;378.9;395.7;370.6;-0.64
26/11/2014;365.4;376.4;378.3;364.0;-2.94
27/11/2014;368.8;365.4;374.4;364.8;0.95
28/11/2014;377.6;368.8;383.3;358.4;2.38
29/11/2014;376.3;377.6;389.3;372.2;-0.35
30/11/2014;374.9;376.3;381.1;372.6;-0.36
01/12/2014;378.6;374.9;383.6;373.0;0.98
02/12/2014;380.6;378.6;384.9;375.4;0.54
03/12/2014;377.0;380.6;384.7;373.6;-0.97
04/12/2014;369.8;377.0;380.4;366.2;-1.89
05/12/2014;377.6;369.8;379.7;366.4;2.11
06/12/2014;376.3;377.6;380.3;372.0;-0.36
07/12/2014;376.5;376.3;377.9;372.5;0.06
08/12/2014;365.0;376.5;377.4;364.6;-3.06
09/12/2014;352.2;365.0;365.4;343.8;-3.50
